n,m,z,,,,,,i,m-i,n,m,z
4005,2004,40016898038480141224301763003706768775961190638214141555661053883135255570742608181490508074729879744171753169694822600735873352905788894799575723291020617599182326686643631121352943026547530064548882805424007443105153094214022096074512924357576797437251978158945002195018605808095586059742255977121449846589323170048226886406842608081218555090124427987414395249205033874867958009578280633769440578369285822233921741879,,,,,,2003,1,350,177,3739702405897758836585154759070350989
4095,2048,164314115064074223864576148000612998847585174640366089287959555695337458290006499227703037573972995285454985789647370334838861606641007166925922878842331205382589695052501971427380762698723623283313307472171427555245011577445371125109567321051020154831079307706336046259951456887961686612382210782486918934051933025188246199559687939504110732095847643418792008093685986825684713516873234428712977018731540771144530783255086432876,,,,,,2049,-1,354,179,9790668006450087855208301058479994796
4186,2095,257709864862816664274817923404359254657199904377360499387515642860574952733953457396197725148570822173261138912743698599392295667222805801162365512341498227161235937273645554609551908859501746610591518013170559642313529735982823370412663230383137263686896309209262440111864624831966909690331625319105930859082443662913556854849805255952558495450282081460837477913931814706250315691930886360459892475376985625372468046111082610860745758971,,,,,,2093,2,358,181,25632301613452504729039748416369633399
4278,2141,1058187177514276197480473833670900953886108814347814041435208069173363386730149453108839643732188865746622020964808494766052852638730275397439756209861284589438012824599771321305883182626187104114191563849363555079325508327099298007493145540608122044311213288750509238835861593376447388733928041920260159004788161426738430549753791458653779833868025141826060519666779079174311894555062976929677743409659052679668110045119752142384993508349477020324,,,,,,2139,2,362,183,67106236833907426331910944190628905401
4371,2186,11375466785328671665681861735063691405036500440181686444413124070713426288359159898238636457063112202977709664265226292906115371945350869372239115771159732380083320213828939821829877065899334629820503949234117595517779355427263508733306309629964989939663213843305377177527746801490841442042225062043457009604512911647879936826411314975735484875358267959327126446388069609697225794945680081515947271744417080195477786687558915655914320153101482629365102085604,,,,,,2187,-1,366,185,175686408888269774266693084155517082804
4465,2234,46709011689878623474643119507356962492065287743658882206760287519680847616729820112088824864825394014210409148332139972324058024195978922869263575499018510820068572641804544534799291357277313747783192871670217491789265485628207564482584343206775305032097039051766417568118379761604835044557772705627177151723082331184571190588760688437410303424850738735377925454909793520987532816596575305959080899251173440153861637051056382922038371038706341279537447731557929762321,,,,,,2233,1,370,187,459952989830901896468168308275922343011
4560,2280,812447020742073053171317600426359198165358989161917035039667574218672022260475718131901014313881633576528779127983688572225191260096090123415802604456465875166424759534835321831213991432841777998281368687899185903054739434563218801732980010714522767148655712400995968082688704787268179522947232378142153282005284811303244816356487872405206917712876461205283224392841936253851602448210768043608546671395215273664423449723308681775106760896721927285048226980101767225461167540403,,,,,,2282,-2,374,189,1204172560604435915137811840672249946229
4656,2328,8733770636873929942907713556332150523240315173367674874144161438984919419074700161359887077331132261870254844239214295704256115353730248980270493200286118118333593655505228073935238558875133310688615509231317718146734213784035102621515343998441910740424433597970765601810833395592973969588650096102654390908047452667470414701859163290063729041456762721979246903239578933695440689687889820673696843508479317297559542764717761755150458321878061670123283345470422224711752233471902085911123,,,,,,2330,-2,378,191,3152564691982405848945267213740827495676
4753,2378,58025764917531606777527084528174163300887967756742451950286477182431578659886653505674551840559141786849481310428169764313919496546296189092114803599048389748460184976611353911373230275328956484795111969248554561706247345446345554798657124390189570103076378451823937007660069807117069929817841883034515000177338949362531619410093380957002063895988688409324503620324047104531870117943510125009303957947229957207028453493279042031352975029671910571858551562804900637709075575715414633085215782279921,,,,,,2377,1,382,193,8253521515342781631697989800550232540799
4851,2426,1633062802612243995694174087836692711066505204980166535673247766783987383609320019710186290836522633586084663391451596183189085454567933285966952203407137179278700111325929348273605420211676305639326477188695855095827870370882671110043092135449356624280908519824760742778089012858175291103180995564134911693259462822190148214461944724197987615722177605509529073154328940444991873210738877294253603041665203118719464995038905186925902282970784966996167611033412095141115891318740308680029603959931899687495204,,,,,,2427,-1,386,195,21607999854045939046148702187909870126721
4950,2477,17555355105614772545762410644670599396472261377685550278944096992638335615999148211351694128540314661051846080209537524228207830456100531339773727745272948446205871446446546433213705155361305120288285160909248668574374388583966378292447143949108794823286668543716708012204670717624259715849573381467296293826520368070085242602989837607961461759323789808499388143898718838252230028767615473777758554377320121681996961667006257587740826626313324073833619515735568292766799921689698422818051447591863334199391955413035364,,,,,,2475,2,390,197,56570478046795035506748116763179377839364
